year,agg_investment_perhh,federal_public_perhh,mission_lending_perhh,small_business_lending_persbemp,ACII_loans_peremp,HMDA_SF_perSFhh,HMDA_MF_perMFhh
2010,10722.09195,291.6008119,356.1310552,4067.489411,2893.469971,12682.41652,1265.659457
2011,9930.578263,553.0778983,494.4924053,4333.755545,3003.941878,9204.196258,1710.542503
2012,13627.86354,491.8358727,461.3659371,5193.474982,4685.689404,11409.30456,3539.646312
2013,21629.26784,262.4160338,361.4114241,5051.031499,10229.12201,15805.2112,4092.602971
2014,23095.02801,134.5667312,423.8294368,4760.924393,11258.28326,15992.61129,4572.361583
2015,24672.57495,204.6201382,619.2628395,4585.969332,10370.56135,18286.24534,6612.563154
2016,24812.80548,176.6151653,415.0688309,4709.694754,9834.134377,19553.18576,6961.260037
2017,25766.77627,138.7744525,224.7778615,4974.883301,10649.32761,19932.19966,6751.296469
2018,26418.0255,128.3369031,507.2782438,4912.850537,12958.73757,18035.46332,3264.905764
2019,24298.28679,553.2392966,378.9715971,5320.838291,11149.78297,17582.79834,2670.338469
2020,20608.18853,552.6484856,276.7870656,6804.45506,6591.871341,18964.38467,2293.763367
